ACTO,CONVOCATORIA,SERIE,ZONA,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS
30/6/2024,Partido_Nacional,BUB,La Teja,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BVA,Belvedere,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BVB,Belvedere,Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,BVC,Nuevo París,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BXA,PLAYA LA COLORADA ( PAJAS BLANCAS AL NOR,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BXB,Paso de la Arena,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BXC,Paso de la Arena,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BZA,Sayago,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BZB,"Peñarol, Lavalleja",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BZC,"Peñarol, Lavalleja",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,AAA,Ciudad Vieja,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,1
30/6/2024,Partido_Nacional,AAB,Ciudad Vieja,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
30/6/2024,Partido_Nacional,ABA,Ciudad Vieja,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
30/6/2024,Partido_Nacional,ACA,Ciudad Vieja,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
30/6/2024,Partido_Nacional,ACB,Ciudad Vieja,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
30/6/2024,Partido_Nacional,ADA,Ciudad Vieja,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
30/6/2024,Partido_Nacional,AEA,Ciudad Vieja,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
30/6/2024,Partido_Nacional,AEB,"PLAZA INDEPENDENCIA (NORTE, RAMBLA PORTU",Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
30/6/2024,Partido_Nacional,AFA,Centro,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
30/6/2024,Partido_Nacional,AGA,Centro,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
30/6/2024,Partido_Nacional,AGB,Centro,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
30/6/2024,Partido_Nacional,AHA,Centro,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
30/6/2024,Partido_Nacional,AHB,Barrio Sur,Primario,"CORBRAN RIZZO, Roxana Lilián",1007,0
