ACTO;CONVOCATORIA;SERIE;ZONA;ESCRUTINIO;HOJA;CNT_VOTOS
30/6/2024;Partido_Nacional;ASB;Cordón;Primario;32.0;0.0
30/6/2024;Partido_Nacional;ATA;Cordón;Primario;32.0;0.0
30/6/2024;Partido_Nacional;ATB;Tres Cruces;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AUA;La Blanqueada;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AUB;La Blanqueada;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AVA;Cordón;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AVB;Parque Rodó;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AXA;Pocitos;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AXB;Punta Carretas;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AZA;Parque Batlle, Villa Dolores;Primario;32.0;1.0
30/6/2024;Partido_Nacional;AZB;Pocitos;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BAA;Pocitos;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BAB;Parque Batlle, Villa Dolores;Primario;32.0;4.0
30/6/2024;Partido_Nacional;BBA;Castro, P. Castellanos;Primario;32.0;1.0
30/6/2024;Partido_Nacional;BBB;Castro, P. Castellanos;Primario;32.0;1.0
30/6/2024;Partido_Nacional;BBC;Castro, P. Castellanos;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BBD;Castro, P. Castellanos;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BCA;Buceo;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BCB;Unión;Primario;32.0;1.0
30/6/2024;Partido_Nacional;BCC;Malvín;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BCD;Carrasco Norte;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BCE;Unión;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BCF;Carrasco;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BCG;Malvín Norte;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BDA;Ituzaingó;Primario;32.0;3.0
30/6/2024;Partido_Nacional;BDB;Flor de Maroñas;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BDC;Villa García, Manga Rural;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BDD;Manga, Toledo Chico;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BDE;Bella Italia;Primario;32.0;2.0
30/6/2024;Partido_Nacional;BDF;Piedras Blancas;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BEA;Aguada;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BEB;Aguada;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BFA;Aguada;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BFB;Aguada;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BGA;Aguada;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BGB;Aguada;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BHA;Aguada;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BHB;Aguada;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BIA;Aguada;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BIB;Reducto;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BJA;Villa Muñoz, Retiro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BJB;Villa Muñoz, Retiro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BKA;Villa Muñoz, Retiro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BKB;Villa Muñoz, Retiro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BLA;Jacinto Vera;Primario;32.0;5.0
30/6/2024;Partido_Nacional;BLB;Larrañaga;Primario;32.0;1.0
30/6/2024;Partido_Nacional;BMA;Atahualpa;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BMB;La Figurita;Primario;32.0;1.0
30/6/2024;Partido_Nacional;BNA;Brazo Oriental;Primario;32.0;4.0
30/6/2024;Partido_Nacional;BNB;Cerrito;Primario;32.0;5.0
30/6/2024;Partido_Nacional;BNC;Cerrito;Primario;32.0;5.0
30/6/2024;Partido_Nacional;BOA;Casavalle;Primario;32.0;2.0
30/6/2024;Partido_Nacional;BOB;Manga;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BPA;Capurro, Bella Vista;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BPB;Capurro, Bella Vista;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BQA;Prado, Nueva Savona;Primario;32.0;2.0
30/6/2024;Partido_Nacional;BQB;Reducto;Primario;32.0;3.0
30/6/2024;Partido_Nacional;BRA;Lezica, Melilla;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BRB;Colón Sureste, Abayubá;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BRC;Manga, Toledo Chico;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BSA;Cerro;Primario;32.0;4.0
30/6/2024;Partido_Nacional;BSB;Cerro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BTA;Cerro;Primario;32.0;1.0
30/6/2024;Partido_Nacional;BTB;Casabó, Pajas Blancas;Primario;32.0;4.0
30/6/2024;Partido_Nacional;BTC;Casabó, Pajas Blancas;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BTD;Casabó, Pajas Blancas;Primario;32.0;0.0
30/6/2024;Partido_Nacional;BUA;La Teja;Primario;32.0;0.0
