PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Cabildo Abierto,Rivera,23,HAB,Departamental,137,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,23,HAB,Departamental,1801,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,24,HAB,Departamental,88,6,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,24,HAB,Departamental,1801,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,25,HAB,Departamental,88,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,25,HAB,Departamental,1801,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,26,HAB,Departamental,88,7,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,26,HAB,Departamental,1801,6,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,26,HAB,Departamental,2424,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,27,HAB,Departamental,88,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,27,HAB,Departamental,1801,6,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,27,HAB,Departamental,2424,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,28,HAB,Departamental,88,6,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,28,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,28,HAB,Departamental,1801,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,28,HAB,Departamental,2424,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,29,HAB,Departamental,88,10,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,29,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,29,HAB,Departamental,1801,7,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,29,HAB,Departamental,2424,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,30,HAB,Departamental,88,5,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,30,HAB,Departamental,1801,6,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,31,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,31,HAB,Departamental,1801,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,32,HAB,Departamental,88,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,32,HAB,Departamental,1801,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,32,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,33,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,33,HAB,Departamental,1801,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,33,HAB,Departamental,2424,5,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,34,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,34,HAB,Departamental,137,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,34,HAB,Departamental,1801,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,34,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,35,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,35,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,35,HAB,Departamental,1801,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,35,HAB,Departamental,2424,7,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,36,HAB,Departamental,88,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,36,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,37,HAB,Departamental,88,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,37,HAB,Departamental,137,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,37,HAB,Departamental,1801,5,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,37,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,38,HAB,Departamental,88,7,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,38,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,38,HAB,Departamental,1801,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,39,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,39,HAB,Departamental,1801,7,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,39,HAB,Departamental,2424,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,40,HAB,Departamental,88,5,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,40,HAB,Departamental,2424,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,41,HAB,Departamental,88,7,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,41,HAB,Departamental,137,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,41,HAB,Departamental,1801,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,41,HAB,Departamental,2424,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,42,HAB,Departamental,88,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,42,HAB,Departamental,137,2,Rivera Chico - Saavedra - Cerro del Marco
