PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Cabildo Abierto,Paysandú,4,KAA,Departamental,1825,4,Paysandú Puerto
Cabildo Abierto,Paysandú,5,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,6,KAA,Departamental,710,1,Paysandú Puerto
Cabildo Abierto,Paysandú,6,KAA,Departamental,1510,1,Paysandú Puerto
Cabildo Abierto,Paysandú,6,KAA,Departamental,1825,3,Paysandú Puerto
Cabildo Abierto,Paysandú,7,KAA,Departamental,271,1,Paysandú Puerto
Cabildo Abierto,Paysandú,7,KAA,Departamental,1825,4,Paysandú Puerto
Cabildo Abierto,Paysandú,8,KAA,Departamental,710,1,Paysandú Puerto
Cabildo Abierto,Paysandú,8,KAA,Departamental,1510,1,Paysandú Puerto
Cabildo Abierto,Paysandú,9,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,10,KAA,Departamental,1510,1,Paysandú Puerto
Cabildo Abierto,Paysandú,10,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,12,KAA,Departamental,271,1,Paysandú Puerto
Cabildo Abierto,Paysandú,12,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,13,KAA,Departamental,710,1,Paysandú Puerto
Cabildo Abierto,Paysandú,13,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,14,KAA,Departamental,710,1,Paysandú Puerto
Cabildo Abierto,Paysandú,14,KAA,Departamental,1510,2,Paysandú Puerto
Cabildo Abierto,Paysandú,14,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,15,KAA,Departamental,710,1,Paysandú Puerto
Cabildo Abierto,Paysandú,15,KAA,Departamental,1825,3,Paysandú Puerto
Cabildo Abierto,Paysandú,16,KAA,Departamental,1510,1,Paysandú Puerto
Cabildo Abierto,Paysandú,17,KAA,Departamental,710,2,Paysandú Puerto
Cabildo Abierto,Paysandú,17,KAA,Departamental,1510,2,Paysandú Puerto
Cabildo Abierto,Paysandú,17,KAA,Departamental,1825,3,Paysandú Puerto
Cabildo Abierto,Paysandú,18,KAA,Departamental,710,1,Paysandú Puerto
Cabildo Abierto,Paysandú,19,KAA,Departamental,271,1,Paysandú Puerto
Cabildo Abierto,Paysandú,19,KAA,Departamental,710,1,Paysandú Puerto
Cabildo Abierto,Paysandú,19,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,20,KAA,Departamental,710,1,Paysandú Puerto
Cabildo Abierto,Paysandú,20,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,22,KAA,Departamental,1510,2,Paysandú Puerto
Cabildo Abierto,Paysandú,23,KAA,Departamental,271,1,Paysandú Puerto
Cabildo Abierto,Paysandú,24,KAA,Departamental,1825,2,Paysandú Puerto
Cabildo Abierto,Paysandú,25,KAA,Departamental,1825,2,Paysandú Puerto
Cabildo Abierto,Paysandú,26,KAA,Departamental,1510,1,Paysandú Puerto
Cabildo Abierto,Paysandú,26,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,27,KAA,Departamental,271,1,Paysandú Puerto
Cabildo Abierto,Paysandú,28,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,29,KAA,Departamental,1510,1,Paysandú Puerto
Cabildo Abierto,Paysandú,30,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,31,KAA,Departamental,710,1,Paysandú Puerto
Cabildo Abierto,Paysandú,31,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,32,KAA,Departamental,1510,1,Paysandú Puerto
Cabildo Abierto,Paysandú,33,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,34,KAA,Departamental,1510,1,Paysandú Puerto
Cabildo Abierto,Paysandú,35,KAA,Departamental,710,1,Paysandú Puerto
Cabildo Abierto,Paysandú,39,KAA,Departamental,1510,1,Paysandú Puerto
Cabildo Abierto,Paysandú,40,KBA,Departamental,1825,2,Paysandú Centro
Cabildo Abierto,Paysandú,41,KBA,Departamental,271,1,Paysandú Centro
Cabildo Abierto,Paysandú,41,KBA,Departamental,1510,2,Paysandú Centro
